ITEM_ID,OP_DATE,HOL_YN,CONFIG,PSS_ALL,D_3,PSS_SPML,ACTUAL_DEMAND
KE0901BC,2015-08-17,0,94,,6,0,82
KE0901BC,2015-08-18,0,94,,13,0,65
KE0901BC,2015-08-19,0,94,,24,0,37
KE0901BC,2015-08-20,0,94,,19,1,58
KE0901BC,2015-08-21,0,94,,21,3,80
KE0901BC,2015-08-22,0,94,,22,2,92
KE0901BC,2015-08-23,0,94,,12,0,68
KE0901BC,2015-08-24,0,94,,35,1,73
KE0901BC,2015-08-25,0,94,,37,3,60
KE0901BC,2015-08-26,0,94,,20,4,80
KE0901BC,2015-08-27,0,106,,36,0,106
KE0901BC,2015-08-28,0,94,,41,0,92
KE0901BC,2015-08-29,0,94,,41,4,93
KE0901BC,2015-08-30,0,94,,57,3,93
KE0901BC,2015-08-31,0,94,,43,6,89
KE0901BC,2015-09-01,0,94,,53,2,93
KE0901BC,2015-09-02,0,94,,44,0,94
KE0901BC,2015-09-03,0,94,,48,1,93
KE0901BC,2015-09-04,0,94,,46,0,70
KE0901BC,2015-09-05,0,94,,41,1,89
KE0901BC,2015-09-06,0,94,,55,0,94
KE0901BC,2015-09-07,0,94,,24,0,67
KE0901BC,2015-09-08,0,106,,29,0,92
KE0901BC,2015-09-09,0,94,,42,0,72
KE0901BC,2015-09-10,0,94,,45,0,80
KE0901BC,2015-09-11,0,94,,47,3,75
KE0901BC,2015-09-12,0,94,,57,0,91
KE0901BC,2015-09-13,0,94,,62,0,94
KE0901BC,2015-09-14,0,94,,44,1,76
KE0901BC,2015-09-15,0,94,,47,0,90
KE0901BC,2015-09-16,0,94,,53,0,69
KE0901BC,2015-09-17,0,94,,45,0,74
KE0901BC,2015-09-18,0,94,,42,0,82
KE0901BC,2015-09-19,0,94,,46,1,92
KE0901BC,2015-09-20,0,94,,46,4,82
KE0901BC,2015-09-21,0,94,,23,0,44
KE0901BC,2015-09-22,0,94,,56,0,84
KE0901BC,2015-09-23,0,94,,54,4,94
KE0901BC,2015-09-24,0,94,,68,5,89
KE0901BC,2015-09-25,0,94,,68,2,93
KE0901BC,2015-09-26,0,94,,70,0,94
KE0901BC,2015-09-27,1,94,,37,1,58
KE0901BC,2015-09-28,0,94,,59,0,94
KE0901BC,2015-09-29,0,94,,56,0,70
KE0901BC,2015-09-30,0,94,,27,0,60
KE0901BC,2015-10-01,0,94,,44,1,72
KE0901BC,2015-10-02,0,94,,49,2,82
KE0901BC,2015-10-03,0,94,,52,1,91
KE0901BC,2015-10-04,0,94,,46,1,92
KE0901BC,2015-10-05,0,94,,21,1,53
KE0901BC,2015-10-06,0,94,,48,0,66
KE0901BC,2015-10-07,0,94,,63,3,75
KE0901BC,2015-10-08,0,94,,40,1,62
KE0901BC,2015-10-09,0,94,,69,0,94
KE0901BC,2015-10-10,0,94,,47,1,80
KE0901BC,2015-10-11,0,94,,52,0,94
KE0901BC,2015-10-12,0,94,,40,3,77
KE0901BC,2015-10-13,0,94,,38,1,56
KE0901BC,2015-10-14,0,94,,39,2,55
KE0901BC,2015-10-15,0,94,,37,2,64
KE0901BC,2015-10-16,0,94,,63,1,76
KE0901BC,2015-10-17,0,94,,48,0,77
KE0901BC,2015-10-18,0,94,,53,3,79
KE0901BC,2015-10-19,0,94,,32,2,74
KE0901BC,2015-10-20,0,94,,39,5,64
KE0901BC,2015-10-21,0,94,,36,2,78
KE0901BC,2015-10-22,0,94,,48,1,64
KE0901BC,2015-10-23,0,94,,64,3,90
KE0901BC,2015-10-24,0,94,,64,1,92
KE0901BC,2015-10-25,0,94,,30,4,86
KE0901BC,2015-10-26,0,94,,23,0,59
KE0901BC,2015-10-27,0,94,,21,0,46
KE0901BC,2015-10-28,0,94,,36,1,69
KE0901BC,2015-10-29,0,94,,21,0,56
KE0901BC,2015-10-30,0,94,,53,0,83
KE0901BC,2015-10-31,0,106,,49,3,98
KE0901BC,2015-11-01,0,94,,48,3,93
KE0901BC,2015-11-02,0,94,,26,0,63
